"ident","iata_code","name","municipality","iso_country","iso_region"
"5ND3","","Craig Private Airport","Bathgate","US","US-ND"
"5ND9","","Deck Airport","Hillsboro","US","US-ND"
"5NE2","","Eickhoff Strip","Shubert","US","US-NE"
"5NE3","","Diamond Bar Jones Airport","Stapleton","US","US-NE"
"5NE4","","Snyder Ranch Airport","Sutherland","US","US-NE"
"5NJ2","","Herr Mountain Airport","Stanton","US","US-NJ"
"5NK","NNK","Naknek Airport","Naknek","US","US-AK"
"5NK0","","Salubrious Point Airport","Chaumont","US","US-NY"
"5NK1","","Toggenburg Farms Airport","Newark","US","US-NY"
"5NK9","","Treichler Farm Airport","Wales","US","US-NY"
"5NY1","","Tomahawk Hills Airport","Meridale","US","US-NY"
"5NY4","","Stanwix Heights Airport","Rome","US","US-NY"
"5NY5","","Gardiner Airport","Gardiner","US","US-NY"
"5NY7","","Rolling Hills Airport","Goshen","US","US-NY"
"5O1","","Vici Municipal Airport","Vici","US","US-OK"
"5OH9","","Furey Airport","Malvern","US","US-OH"
"5OI0","","Rohrer Airport","Loveland","US","US-OH"
"5OI3","","Sheets Field","Kinsman","US","US-OH"
"5OI5","","Hamrick Airport","Willshire","US","US-OH"
"5OI7","","Gruetter Airport","Curtice","US","US-OH"
"5OI8","","McKnight Airport","Johnstown","US","US-OH"
"5OK0","","Kits Airport","Hydro","US","US-OK"
"5OK2","","Christopher M. Rippee Memorial Airport","Non","US","US-OK"
"5OK3","","Stearmans Roost Airport","Vinita","US","US-OK"
"5OK4","","Pacer Field","Washington","US","US-OK"
"5OL5","","Morning Yodle Airport","Lexington","US","US-OK"
"5OR0","","Backachers Ranch Airport","Selma","US","US-OR"
"5OR3","","Siletz Airport","Siletz","US","US-OR"
"5OR4","","Flying T Ranch Airport","Sprague River","US","US-OR"
"5OR5","","Juniper Air Park","Bend","US","US-OR"
"5OR8","","Hatch Airport","Stayton","US","US-OR"
"5OR9","","Lone Oaks Ranch Airport","Stayton","US","US-OR"
"5P3","","Bowdle Municipal Airport","Bowdle","US","US-SD"
"5P5","","Presho Municipal Airport","Presho","US","US-SD"
"5PA0","","Blomster Field","Carmichaels","US","US-PA"
"5PA1","","Broadt Personal Use Airport","Bloomsburg","US","US-PA"
"5PA2","","Double D Skyranch Airport","Drums","US","US-PA"
